,FEDFUNDS
1991-01-31,0.3601049868766404
1991-02-28,0.32545931758530183
1991-03-31,0.3186351706036745
1991-04-30,0.3076115485564304
1991-05-31,0.30078740157480316
1991-06-30,0.30708661417322836
1991-07-31,0.30288713910761156
1991-08-31,0.29448818897637796
1991-09-30,0.28346456692913385
1991-10-31,0.27086614173228346
1991-11-30,0.24986876640419942
1991-12-31,0.22992125984251965
1992-01-31,0.20892388451443572
1992-02-29,0.21049868766404195
1992-03-31,0.2062992125984252
1992-04-30,0.1931758530183727
1992-05-31,0.1979002624671916
1992-06-30,0.19475065616797899
1992-07-31,0.1679790026246719
1992-08-31,0.17060367454068243
1992-09-30,0.16640419947506563
1992-10-31,0.16010498687664043
1992-11-30,0.15958005249343832
1992-12-31,0.1506561679790026
1993-01-31,0.15590551181102363
1993-02-28,0.1564304461942257
1993-03-31,0.1585301837270341
1993-04-30,0.152755905511811
1993-05-31,0.1548556430446194
1993-06-30,0.1569553805774278
1993-07-31,0.15800524934383203
1993-08-31,0.1564304461942257
1993-09-30,0.15958005249343832
1993-10-31,0.15433070866141735
1993-11-30,0.15590551181102363
1993-12-31,0.152755905511811
1994-01-31,0.15748031496062992
1994-02-28,0.1679790026246719
1994-03-31,0.17270341207349083
1994-04-30,0.184251968503937
1994-05-31,0.2078740157480315
1994-06-30,0.2204724409448819
1994-07-31,0.220997375328084
1994-08-31,0.23202099737532805
1994-09-30,0.24566929133858267
1994-10-31,0.24724409448818896
1994-11-30,0.27506561679790026
1994-12-31,0.28346456692913385
1995-01-31,0.28766404199475065
1995-02-28,0.30813648293963253
1995-03-31,0.31128608923884515
1995-04-30,0.31496062992125984
1995-05-31,0.31286089238845144
1995-06-30,0.3123359580052493
1995-07-31,0.3044619422572178
1995-08-31,0.29868766404199476
1995-09-30,0.30183727034120733
1995-10-31,0.29973753280839893
1995-11-30,0.30183727034120733
1995-12-31,0.29133858267716534
1996-01-31,0.28923884514435694
1996-02-29,0.2713910761154855
1996-03-31,0.27611548556430443
1996-04-30,0.2713910761154855
1996-05-31,0.27244094488188975
1996-06-30,0.27401574803149603
1996-07-31,0.28083989501312334
1996-08-31,0.2713910761154855
1996-09-30,0.2755905511811023
1996-10-31,0.27244094488188975
